country,date,inflation_rate,interest_rate,oil_price,gdp_growth,unemployment_rate,money_supply_m2,exchange_rate_usd,food_price_index,supply_chain_index
CHN,2020-07,4.426851237,-0.57,43.09,0.11,5.42,11257,64.66,104.7,3.4
ARG,2021-09,5.348470529,1.78,79.69,0.44,7.85,10074,73.78,102.81,2.13
AUS,2023-12,3.382589077,0.32,72.5,5.16,4.87,14439,93.34,121.48,1.93
ARG,2020-04,3.142615767,3.54,42.35,-2.95,6.73,11554,76.18,100.87,3.68
KOR,2020-04,6.887339472,4.5,45.04,-0.22,4.52,12172,21.07,97.31,2.79
IDN,2021-01,2.874288906,1.24,69.99,-2.46,7.88,11300,6.83,110.61,1.8
KOR,2022-02,6.228091866,4.27,85.71,2.98,5.75,14096,20.34,119.88,1.36
ZAF,2020-04,5.486148893,3.27,34.23,2.15,6.64,10798,56.53,82.74,3.98
KOR,2023-04,3.483991169,5.51,77.91,0.45,5.68,13711,22.77,130.51,1
IDN,2023-04,5.283122262,0.98,81.69,3.2,4.21,12200,7.7,154.61,1.51
CHN,2022-09,5.455800818,1.16,134.22,-0.3,5.71,12979,64.56,134.17,2
JPN,2022-07,4.267500038,1.24,85.18,0.24,7.91,11705,61.69,135.16,1.02
BRA,2024-02,3.126980409,3.22,70.74,3.38,5.58,20149,16.58,142.11,1.58
BRA,2020-08,5.767616356,1.33,48.27,1.82,5.4,11992,15.8,85.23,3.57
CHN,2024-12,4.370550246,1.67,83.78,4.16,6.13,19656,67.95,157.55,2.04
IDN,2021-08,3.699321205,0.27,69.15,2.35,4.43,11680,7.61,110.81,1.58
ZAF,2022-05,8.399714141,2.15,131.55,2.33,6.27,9469,61.22,112.25,1.15
CAN,2021-02,4.795859997,-0.61,75.2,1.31,6.38,12386,22.31,101.95,1
IND,2024-06,3.5820898,3.36,73.17,1.36,2.95,13788,50.97,148.18,2.02
RUS,2022-08,4.081316764,2.68,83.63,5.65,4.81,5187,5.91,114.88,1.79
IDN,2024-03,5.218096753,0.22,78.28,5.71,4.19,13299,6.95,152.92,2.08
VNM,2022-07,6.053668501,3.15,111.23,7.1,5.14,10759,99.75,115.54,2.03
THA,2024-05,1.849298309,1.15,82.05,4.2,5.55,13686,34.18,133.58,1.37
IDN,2022-08,6.200312769,2.22,116.39,0.85,6.23,9146,7.35,106.99,1.42
CAN,2022-01,5.352278491,-0.96,114.17,5.76,3.89,13678,24.18,117.56,1.35
SAU,2021-05,4.427287264,1.94,69.71,1.35,7.34,13444,2.65,119.75,1.57
EU,2024-11,4.573710487,0.5,88.38,2.24,5.1,12188,26.64,132.91,1.53
IND,2020-02,6.649324467,2.76,45.4,3.21,6.98,12562,48.42,91.54,3.28
KOR,2024-10,4.733759695,5.63,77.58,4.85,3.4,14002,19.78,122.83,2.12
ZAF,2022-04,5.68698356,2.4,100.15,0.83,3.78,12188,59.89,122.36,1.94
VNM,2023-01,5.806748855,3.54,63.97,1.96,5.22,12914,98.51,129.84,1.13
IND,2022-05,4.215042483,2.48,93.64,1.88,6.28,9346,53.52,133.1,1.29
ARG,2023-05,3.068505725,3.29,68.64,2.56,5.24,12265,74.4,127.3,1
USA,2023-08,0.818659819,5.01,67.79,3.6,6.52,12856,72.19,133.12,1.45
IDN,2022-02,4.311142761,0.79,110.95,1.1,3.78,8255,7.26,104.21,1
EU,2021-04,2.548253881,2.02,86.23,-1.37,6.31,11589,27.91,109.98,1
MEX,2021-04,2.974044105,3.54,61.39,-0.53,6.48,9401,88.54,101.27,1.77
TUR,2023-02,4.442790958,2.87,92.68,3.91,4.11,13864,78.41,123.75,1.11
AUS,2020-02,5.081987898,-0.24,48.05,-0.94,5.93,11272,91.86,98.76,3.61
IND,2023-04,4.751975062,3.29,73.79,-2.88,5.66,15948,49.99,131.95,1.4
ARG,2020-10,3.271552472,4.15,32.3,1.07,4.76,11591,75.71,121.02,4.24
ARG,2023-11,3.478489617,3.64,72.53,5.84,4.3,15773,79.54,115.83,1.44
AUS,2021-07,4.294256209,-0.23,74.99,3.66,7.07,10625,96.92,89.26,1
PHL,2022-04,1.741281155,3.67,106.01,3.72,5.54,15273,31.15,118.48,1.45
IDN,2023-04,4.720920264,0.98,81.69,3.2,4.21,12200,7.7,154.61,1.51
THA,2021-06,3.216991837,1.72,70.47,1.82,3.76,8871,37.62,118.33,1.62
USA,2022-05,2.828328407,3.47,90.1,2.03,7.37,10246,69.91,119.81,2.42
IDN,2023-06,4.810738723,1.49,79.97,2.64,5.09,9751,7.69,142.09,1.99
EU,2020-01,3.992943846,-0.48,40.24,1.12,6.95,9738,27.35,94.11,3.16
USA,2021-03,3.509623903,5.63,65.07,2.02,5.63,14755,68.85,116.49,1.96
IND,2023-04,5.529154028,3.29,73.79,-2.88,5.66,15948,49.99,131.95,1.4
JPN,2020-07,4.072962127,0.4,37.42,1.15,4.95,9588,59.03,95.09,3.4
ZAF,2023-08,5.143943029,1.99,84.44,3.8,7.29,13253,59.54,112.37,2.03
BRA,2024-04,3.636449267,3.01,78.25,-0.49,3.38,15382,16.3,149.29,1.47
MEX,2022-03,4.291161105,1.84,104.01,4.47,5.63,11848,83.63,115.23,1.56
JPN,2024-01,3.673970828,0.25,75.75,5.18,4.13,13690,58.76,110.93,1.14
USA,2020-02,3.816575869,4.33,44.75,0.02,5.8,6952,71.03,78.6,3.91
RUS,2023-02,3.964531445,4.01,73.08,4.54,5.3,11554,5.77,137.42,1.13
SAU,2022-12,4.838519757,2.64,101.05,4.54,4.21,10877,2.65,116.98,1.91
RUS,2023-03,5.420530149,3.21,79.2,6.06,5.34,12001,5.73,116.66,1
CHN,2022-11,6.004611915,-0.05,126.6,4.16,4.48,17139,56.08,103.85,1.82
KOR,2023-10,4.215969078,5.32,89.17,0.79,3.54,9873,19.38,148.66,1
JPN,2024-06,5.975980594,-0.39,84.27,-0.26,5.21,12271,58.77,121.17,2.64
BRA,2021-10,3.79467234,0.64,77.51,1.36,7.64,11063,15.7,113.61,1
IDN,2024-01,4.846825481,-2.81,84.78,2.68,4.73,12613,7.54,147.15,2.45
IDN,2024-06,6.490803233,0.11,80.93,4.68,4.73,12338,7.15,141.23,1.55
KOR,2020-11,4.811396645,3.88,43.07,0.26,7.36,8664,19.62,100.19,2.37
PHL,2023-05,2.101621968,4.28,63.18,1.94,5.8,15867,28.07,121.68,1.24
IND,2021-02,5.453623842,1.64,66.97,-0.14,6.95,7444,49.77,127.11,1.9
THA,2021-06,2.804556527,1.72,70.47,1.82,3.76,8871,37.62,118.33,1.62
BRA,2020-05,4.123245606,1.35,36.93,4.72,7.33,11958,16.03,110.91,3.15
GBR,2021-12,3.074752135,6.83,71.77,3.19,5.51,11151,27.48,118.21,1.77
ZAF,2023-09,4.568206061,2.21,74.84,0.73,6.03,11886,58.85,112.06,1.38
KOR,2023-01,3.468549302,4.63,78.92,-1.54,4.79,9764,21.44,120.97,1.88
AUS,2020-03,3.181668334,1.19,31.56,0.72,5.48,11342,95.22,89.73,2.94
USA,2021-01,4.524769887,4.49,63.41,0.85,5.58,12051,73.31,113.4,1.5
VNM,2020-11,-0.087085145,3.41,33.55,0.98,5,9328,91.72,97.54,2.85
SAU,2024-07,4.464357654,4.43,83.25,0.81,3.42,18362,2.69,129.53,1.1
AUS,2023-01,3.820548634,1.41,76.2,5.32,4.49,19192,97.33,119.74,1.89
AUS,2021-05,2.325609332,-0.65,68.14,-0.06,5.56,16010,97.1,122.88,1
KOR,2022-01,6.381199949,3.44,133.99,4.64,6.51,16254,20.77,103.18,1.78
AUS,2022-01,4.860288432,-0.54,108.27,0.97,5.57,14134,99.46,130.29,1.33
BRA,2021-09,1.30749434,2.17,72.43,5.85,5.23,12217,16.02,93.11,1
EU,2021-12,3.054715186,1.13,74.64,3.2,5.49,13566,25.72,107.64,1.28
IDN,2024-12,2.195857571,1.41,88.51,7.67,4.94,17753,8.26,143.26,2.23
CHN,2022-08,4.041289878,1.06,129.36,3.64,4.8,9664,67.75,111.29,1.9
SAU,2024-08,5.660356949,3.7,78.01,1.37,5.09,13815,2.56,133.87,1.73
AUS,2024-07,3.626109217,0.28,78.86,2.52,6.09,17817,91.57,127.58,1
AUS,2023-12,2.217646717,0.32,72.5,5.16,4.87,14439,93.34,121.48,1.93
GBR,2020-06,5.417693867,5.47,44.1,4.38,6.04,12167,31.5,82.62,3.5
MEX,2020-04,3.586269905,1.56,34.15,0.4,6.29,8738,88.03,108.37,2.94
THA,2024-10,5.498780336,1.13,91.62,1.36,3.45,12543,38.11,121.48,1.23
AUS,2022-06,3.422884236,1.62,100.11,1.69,6.41,13287,96.42,121.23,1.21
BRA,2022-09,3.473308119,1.69,108.3,3.69,4.91,14963,16.47,118.68,1.61
IDN,2024-01,5.878726507,-2.81,84.78,2.68,4.73,12613,7.54,147.15,2.45
BRA,2022-11,6.054956804,1.19,127.19,5.76,5.13,15741,14.86,117.57,1.11
CAN,2021-04,5.555966795,0.78,69.19,0.36,5.47,9985,24.69,103.46,1.54
AUS,2024-12,1.425690229,-0.18,86.71,5.25,3.79,12534,95.17,146.45,1.24
IND,2020-09,4.526089494,2.22,41.42,3.24,5.15,11173,54.88,101.26,3.37
CAN,2020-04,5.248762139,0.33,36.14,3.61,5.53,10877,24.72,99.19,3.25
THA,2021-01,3.291777803,1.94,74.3,1.64,6.03,10497,36.35,104.87,2
THA,2021-01,2.578072432,1.94,74.3,1.64,6.03,10497,36.35,104.87,2
SAU,2024-08,4.862375422,3.7,78.01,1.37,5.09,13815,2.56,133.87,1.73
KOR,2021-07,5.546894453,3.77,72.24,4.32,6.32,10252,21.81,95.56,1.75
AUS,2021-06,4.127332565,1.3,82.54,6.79,8.19,12185,104.9,103.13,1.87
EU,2022-01,4.313256791,0.73,94.45,2.05,5.7,12121,26.93,144.65,2.16
CAN,2020-09,5.393795849,-0.08,39.66,3.75,7.77,5618,24.76,90.09,3.62
AUS,2024-09,4.185279513,0.6,74.55,6.2,2.99,16358,86.46,126.69,2.34
SAU,2022-10,8.425426308,3.24,89.8,1.69,6.53,14857,2.73,139.82,2.42
GBR,2020-02,4.947794133,4.35,41.44,2.05,5.2,8686,29.97,92.42,4.27
RUS,2021-09,5.687270349,4.54,76.42,0,6.09,12498,5.76,104.68,2.44
MEX,2021-07,4.280628341,1.93,61.98,2.09,6.96,13398,89.26,105.16,1
CHN,2020-09,5.049890891,1.29,41.24,3.88,5.91,10201,57.5,104.06,3.58
MEX,2024-03,4.838001258,3.01,87.82,1.87,6,12458,87.38,153.53,1.57
SAU,2023-05,5.774468775,2.03,66.34,-0.07,5.27,16813,2.4,141.49,1.33
ARG,2020-07,3.548861572,3.56,41.96,-0.25,7.92,10945,67.82,85.93,4.22
USA,2021-03,4.144561021,5.63,65.07,2.02,5.63,14755,68.85,116.49,1.96
BRA,2022-01,5.572942359,3.51,142.55,1.14,5.18,7556,16.19,112.19,1
THA,2023-01,2.256309059,1.67,70.31,3.1,5.08,9768,36.93,150.05,1
IDN,2024-10,4.63155231,-0.53,76.53,5.75,4.22,16630,7.33,135.01,2.06
ZAF,2020-08,6.333193169,2.27,29.48,3.23,6.02,6228,53.12,116.77,3.57
KOR,2022-10,4.096362086,3.03,119.63,1.76,6.07,12175,20.75,109.66,1.19
IND,2024-09,6.877350148,2.43,94.48,3.54,5.05,13946,52.82,128.19,1.89
MEX,2024-02,4.281571437,1.22,81.99,6.45,4.99,12096,84.38,137.71,1.68
KOR,2022-08,5.916037123,5.03,118.23,4.2,6.78,10675,19.18,117.36,2.68
THA,2020-08,2.235560293,1.26,34.8,3.47,5.72,8920,37.61,92.99,3.08
JPN,2020-04,4.993645563,-1.39,42.32,0.91,6.74,11116,61.04,88.49,3.52
IND,2023-10,6.120502183,-0.33,77.22,3.37,6.8,9597,50.56,142.39,2.18
JPN,2020-03,4.909864691,0.61,42.81,0.83,6.84,13974,62.44,115.54,3.06
IND,2020-12,6.119720527,3.4,39.55,0.63,7.01,10381,51.88,97.4,3.67
BRA,2021-03,3.795123964,3.48,76.72,2.12,6.39,12953,15.31,122.5,2.26
MEX,2023-10,6.922687288,4.56,75.52,0.12,4.48,13188,91.43,128.73,1.95
PHL,2020-10,2.66124392,3.83,35.7,-2.24,6.44,12997,29.61,99.21,3.26
IND,2021-12,5.44630526,1.6,63.5,4.82,5.9,11972,51.8,110.19,1.58
RUS,2020-04,5.117806349,4.09,39.84,1.03,6.92,12115,5.59,108.08,3.95
CAN,2024-11,4.15518321,-0.57,78.34,0.77,3.79,11070,23.31,114.26,1.63
THA,2022-10,2.590786664,1.69,106.81,2.34,5.29,13309,37.61,117.72,1.15
KOR,2022-03,5.974838426,4.21,86.19,1.05,6.23,15325,21.87,121.63,1.5
USA,2023-04,5.182080147,5.23,78.66,3.11,7.28,15557,71.75,134.06,1.53
EU,2023-04,4.689504254,1.77,77.13,2.72,5.89,10885,25.92,137.34,1.92
THA,2023-08,1.007541995,2.97,74.32,2.53,2.94,13243,38.44,133.42,1
RUS,2022-06,4.122235696,4.36,102.5,7.12,5.38,14367,5.5,111.27,1.64
JPN,2022-12,4.739114063,1.6,110.52,0.54,5.56,10420,58.86,124.47,1
AUS,2020-09,3.667820174,1.55,41.2,2.15,5.11,11580,102.17,98.04,4.13
EU,2021-11,2.708013566,-0.57,61.52,3.67,6.03,15743,27.34,112.51,1
CAN,2021-08,4.630544618,-0.32,73.8,1.45,7.36,9701,22.32,106.46,1.04
CHN,2022-01,4.159418081,1.22,130.81,5.54,5.01,9155,60.78,117.06,2.07
THA,2022-02,3.026550996,2.98,125.07,1.59,4.72,16782,37.64,131.21,1.15
IDN,2021-05,6.0375795,-0.15,76.59,3.3,5.91,11763,7.08,113.77,2.04
PHL,2021-09,1.923703637,4.19,62.94,4.49,6.14,7728,29.8,125.41,1.37
ZAF,2024-04,5.629550696,1.88,81.77,2.25,5.73,13126,58.02,144.61,1.22
SAU,2023-09,4.834531017,2.27,71.4,5.05,4.35,15640,2.54,133.62,1.7
USA,2022-12,3.676557278,5.96,125.98,0.11,6.27,10928,70.77,126.67,1
TUR,2022-08,4.532404947,5.55,104.81,2.84,6.18,14150,83.95,119.62,1.08
AUS,2023-01,3.757583465,1.41,76.2,5.32,4.49,19192,97.33,119.74,1.89
USA,2022-09,3.284588632,6.21,100.67,3.22,6.08,14285,76.55,113.7,1.32
PHL,2020-07,3.608035656,3.88,33.15,2.16,5.93,8451,28.74,101.43,4.38
TUR,2020-02,3.576320902,5.51,39.93,-0.39,6.32,11771,81.85,102.81,3.33
PHL,2024-12,2.070159852,3.82,78.76,2.24,3.64,17626,27.65,146.93,2.14
RUS,2021-07,3.878593889,4.43,85.76,1.54,6.15,11152,5.15,110.11,1.07
BRA,2022-09,2.701871524,1.69,108.3,3.69,4.91,14963,16.47,118.68,1.61
VNM,2021-02,4.48450652,-0.91,71.06,4.18,7.25,14309,91.39,89.27,1.37
PHL,2023-04,1.571211382,4.17,74.94,1.8,5.78,15379,26.72,129.4,1.93
RUS,2022-11,4.420554567,4.34,85.82,2.08,6.82,7453,5,116.68,1.94
SAU,2022-06,8.145639578,2.03,125.66,3.05,4.01,10955,2.58,132.95,1.79
MEX,2022-06,3.84466176,1.87,72.68,2.61,4.74,14326,88.49,123.6,1.39
SAU,2024-10,5.300199514,4.8,86.94,3.21,4.92,10514,2.73,135.03,2.13
IND,2022-02,4.669659837,2.85,81.77,0.44,6.77,12223,52.46,111.34,1.23
SAU,2022-09,6.555860433,4.27,108.18,-2.28,4.48,11031,2.57,129.79,1.86
CHN,2022-04,3.979703527,2.2,112.79,5,6.69,10049,57.51,130.14,1.6
THA,2021-01,2.578565622,1.94,74.3,1.64,6.03,10497,36.35,104.87,2
USA,2022-08,2.68569923,5.19,141.67,2.28,5.01,12170,76.58,122.08,1.84
EU,2021-01,4.537169951,0.94,74.72,1.43,6.4,13654,25.57,115,1.57
CHN,2023-07,4.077723847,2.12,75.9,5.68,2.67,7561,65.72,140.86,1.72
EU,2023-11,6.232354895,1.52,89.89,1.75,5.83,17240,29.13,129.93,2.44
USA,2021-04,3.982505899,4.37,60.85,0.23,5.64,10646,77.16,115.56,1.81
KOR,2021-02,3.773623847,5.78,77.3,3.3,7.64,5908,22.61,98.18,2.35
KOR,2023-01,4.115464293,4.63,78.92,-1.54,4.79,9764,21.44,120.97,1.88
IND,2022-06,5.678680332,3.66,106.86,5.73,4.27,10066,49.97,114.08,1
AUS,2024-07,3.264921645,0.28,78.86,2.52,6.09,17817,91.57,127.58,1
IND,2022-05,6.23345464,2.48,93.64,1.88,6.28,9346,53.52,133.1,1.29
CAN,2023-10,4.385161104,2.25,76.03,7.06,4.83,13994,24.36,121.73,1.22
CHN,2024-09,4.297271047,1.2,77.24,2.42,4.57,13069,66.07,127.65,1.47
AUS,2023-10,5.485214438,-0.64,79.8,5.73,4.39,14081,104.66,139.1,2.31
BRA,2024-05,6.042067153,2.62,71.85,2.3,3.53,8339,16.71,139.32,1
EU,2024-04,4.071235572,-2.31,79.69,3.18,5.4,12940,27.83,147.78,1.6
RUS,2020-01,4.571531291,3.87,36.38,0.47,6.99,7715,5.25,82.65,3.05
PHL,2020-10,3.103967316,3.83,35.7,-2.24,6.44,12997,29.61,99.21,3.26
CAN,2024-08,5.575069605,-0.58,88.94,0.6,4.75,12699,23.43,156.01,1.09
CHN,2023-01,2.702597549,0.21,88.99,4.09,3.96,11182,62.94,131.36,1
CAN,2022-01,5.65103969,-0.96,114.17,5.76,3.89,13678,24.18,117.56,1.35
CAN,2020-02,6.619793417,-0.15,41.59,2.07,7.54,11164,25.87,104.46,3.82
TUR,2022-11,2.327154218,3.76,114.31,3.73,5.47,10564,79.22,128.3,1.97
PHL,2023-11,2.526308814,4.44,56.67,1.96,4.46,8917,23.42,120.16,1
TUR,2024-06,4.796027228,4.53,70.18,3.1,4.06,14380,78.55,150.48,2.47
CHN,2022-02,1.058879726,2.22,84.97,1.27,4.86,12186,58.97,137.02,1
JPN,2021-06,2.69547598,0.51,61.13,2.92,3.91,13704,59.79,104.15,1.77
THA,2023-06,2.818507142,1.55,73.1,0.77,3.31,10918,38.48,122.99,1.35
IDN,2023-08,3.369049059,-0.32,65.44,4.69,2.8,11557,7.41,121.17,1.08
AUS,2024-12,1.767059104,-0.18,86.71,5.25,3.79,12534,95.17,146.45,1.24
PHL,2020-04,1.033721765,4.72,29.99,0.15,7.39,8064,29.03,113.98,3.17
AUS,2021-10,4.503023125,-0.6,86.08,1.56,6.61,11636,98,94.45,1.49
SAU,2023-09,6.28274172,2.27,71.4,5.05,4.35,15640,2.54,133.62,1.7
SAU,2024-03,3.565370934,3.83,74.45,1.45,2.9,14524,2.8,146.26,1.63
CAN,2020-09,4.632550781,-0.08,39.66,3.75,7.77,5618,24.76,90.09,3.62
MEX,2021-10,4.70563131,4.08,78.72,0.78,7.14,7628,88.74,108.46,1
TUR,2021-06,2.329764279,3.15,59.32,4.12,5.47,12744,78.32,106.11,1.12
CHN,2022-03,3.484038935,0.58,97.57,4.4,4.21,7806,63.67,120.88,1.17
THA,2024-08,1.401993903,2.14,80.21,4.23,4.16,11563,37.81,149.32,1.37
USA,2020-11,3.34072888,5.1,46.37,0.71,6.21,4690,72.72,104.53,3.35
USA,2021-02,3.165032828,3.95,58.5,4.77,7.41,12701,70.1,123.92,1.11
CAN,2020-01,4.775413342,-1.09,30.17,-0.81,5.65,10035,23.54,89,3.46
IDN,2020-12,3.332503487,1.46,31.5,2.87,7.22,8420,7.85,116.45,3.6
JPN,2023-07,2.793339973,2.42,74.24,5.08,5.58,10754,61.62,128.7,1.71
IDN,2023-05,4.678378736,-0.33,70.89,6.39,5.03,10952,7.43,122.37,1.98
THA,2021-05,2.373192701,2.8,78.05,3.45,6.9,10491,36.1,111.21,1
THA,2020-05,2.606407221,3.24,49.87,-1.58,7.12,9688,38.06,84.11,3.31
ARG,2023-07,2.086333818,4.01,85.01,6.5,4.42,10318,69.72,134.13,1
CHN,2023-04,4.648439861,0.88,75.11,3.33,4.61,15202,58.99,145.91,1.71
SAU,2022-07,6.553114245,3.4,102.8,1.63,5.89,12502,2.45,110.74,1.63
CHN,2024-03,4.291049337,0.76,84.51,5.65,6.03,10796,64.08,132.79,1.81
ARG,2024-05,3.742090439,3.91,82.47,3.42,4.53,14684,73.1,144.44,1.01
ARG,2020-04,2.523256115,3.54,42.35,-2.95,6.73,11554,76.18,100.87,3.68
USA,2021-10,1.119918854,5.46,66.58,2.18,6.63,9871,74.18,127.63,1.04
CAN,2023-07,3.585548531,-0.02,89.98,3.4,5.52,13098,26.17,109.67,1.99
KOR,2022-12,6.062127305,3.41,104.99,3.55,8.59,16680,21.21,122.8,2.15
BRA,2022-11,4.453227975,1.19,127.19,5.76,5.13,15741,14.86,117.57,1.11
RUS,2022-09,7.262431617,2.27,121.45,1.29,8.21,13148,6.39,115.09,2.09
CAN,2020-05,5.279589526,-0.36,42.13,2.65,6.35,9188,24.11,111.22,4.05
KOR,2020-10,6.683140517,4.24,44.29,1.72,6.94,11344,20.36,95.82,3.37
VNM,2021-04,5.346873705,1.5,74.89,1.25,6.71,12569,91.31,114.44,1
EU,2020-12,4.895812118,0.72,42.76,-0.37,7.9,10445,26.55,99.25,4.42
IND,2021-02,5.229103892,1.64,66.97,-0.14,6.95,7444,49.77,127.11,1.9
PHL,2022-06,0.603961753,4.49,116.5,1.96,4.41,10850,27.25,148.01,1.41
JPN,2024-06,6.255104074,-0.39,84.27,-0.26,5.21,12271,58.77,121.17,2.64
IDN,2022-12,4.913636509,-1.28,101.22,4.88,7.19,10905,7.26,96.74,1
GBR,2020-05,6.16370782,4.33,46.03,-0.33,6.83,8415,30.99,117.32,4.07
IDN,2020-03,3.368196014,1.09,38.89,3.26,5.49,10968,7.25,94.71,3.53
EU,2023-12,4.276810168,-2.21,69.81,4.6,4.57,14773,26.19,121.14,1.97
EU,2024-11,5.388551609,0.5,88.38,2.24,5.1,12188,26.64,132.91,1.53
GBR,2022-09,4.480873712,4.85,137.14,2.5,5.27,7566,28.58,129.94,1
KOR,2024-05,5.306767794,3.56,68.06,-1.63,4.4,13486,22.95,132.15,1.16
CHN,2021-05,1.133900213,1.5,75.68,3.94,6.8,7505,59.45,110.33,1.55
JPN,2022-08,3.665720498,1.4,106.82,0.02,5.83,12186,54.17,118.45,1.02
EU,2021-06,3.483986659,-0.2,62.89,2.07,5.38,10565,28.75,117.01,1.21
SAU,2022-02,6.850338214,2.64,111.19,1.39,5.12,7825,2.58,127.4,2.22
CHN,2022-08,4.951950083,1.06,129.36,3.64,4.8,9664,67.75,111.29,1.9
MEX,2020-09,3.76975576,4.03,40.55,-1.19,5.64,10004,94.03,113.77,3.29
PHL,2023-06,2.77580853,2.47,81.23,2.48,6.21,10789,27.22,124.95,1
ZAF,2023-09,4.869722695,2.21,74.84,0.73,6.03,11886,58.85,112.06,1.38
THA,2020-09,2.222951265,3,47.82,3.94,5.36,7664,36.18,88.35,3.9
SAU,2020-10,4.679105594,3.97,34.68,-2.04,7.5,11694,2.71,109.37,3.71
TUR,2024-11,2.837327622,4.01,87.65,6.73,3.73,15426,83.75,151.43,1
PHL,2022-05,2.313032165,5.73,129.34,-1.2,4.98,10849,28.51,107.92,1.83
IND,2020-01,7.202895744,3.84,41.49,1.73,5.06,9147,48.36,109.19,3.12
USA,2022-12,2.992925951,5.96,125.98,0.11,6.27,10928,70.77,126.67,1
SAU,2023-04,5.9346765,2.95,71.95,-2.49,5.41,11541,2.4,121.54,1.31
CAN,2024-04,5.15423933,-0.5,79.18,-0.59,4.4,19134,22.65,143.77,2.57
BRA,2024-02,3.562120845,3.22,70.74,3.38,5.58,20149,16.58,142.11,1.58
SAU,2020-10,6.503880914,3.97,34.68,-2.04,7.5,11694,2.71,109.37,3.71
BRA,2023-03,4.849189299,2.97,78.11,2.88,6.13,11662,15.8,130.86,1.45
EU,2023-03,4.703911666,0.23,79.64,3.42,4.84,11742,28.59,116.59,1.57
PHL,2022-06,1.411466614,4.49,116.5,1.96,4.41,10850,27.25,148.01,1.41
JPN,2024-04,5.55071246,-0.32,84.66,2.5,5.48,11893,62.82,145.16,1
RUS,2022-10,6.817437532,3.63,117.79,1.12,5.44,10884,5.17,106.38,1.65
SAU,2024-03,3.805379158,3.83,74.45,1.45,2.9,14524,2.8,146.26,1.63
VNM,2024-02,4.182876548,1.5,80.16,2.14,3.5,8283,101.35,137.19,1.6
ARG,2021-04,2.161413704,3.86,66.97,-0.05,4.83,10669,77.62,118.11,1.68
CAN,2020-07,5.302005729,-0.62,46.65,0.42,6.43,10705,23.13,110.82,4.16
IND,2023-01,6.540766371,2.35,77.46,4.24,4.63,13700,49.96,133.77,1.3
VNM,2023-08,2.783588189,1.99,70.98,1.87,3.72,14842,96.01,138.72,1
MEX,2021-08,3.789837038,2.57,76.83,1.26,4.52,10516,97.93,112.58,1.8
SAU,2022-08,6.89049669,3.17,120.91,5.15,5.68,15996,2.85,109.75,1.53
IDN,2023-10,3.2936134,0.13,68.29,4.08,3.92,11019,7.28,123.59,1.19
TUR,2023-08,4.713068902,3.26,71.39,2.39,6.05,12316,80.49,121.62,2.45
ZAF,2022-08,4.993322595,2.68,102.28,-3.59,6.52,12814,54.29,134.36,1.27
CAN,2022-01,5.297942455,-0.96,114.17,5.76,3.89,13678,24.18,117.56,1.35
TUR,2020-01,2.749128715,4.97,35.56,1.04,6.51,7972,78.08,111.4,3.42
CHN,2020-01,5.048372938,0.33,41.97,-1.1,8.08,10651,65.08,88.3,4.21
IND,2021-10,6.666694309,1.11,54.16,3.79,5.52,12119,54.07,111.47,1.63
PHL,2021-07,3.169267034,4.5,60.06,4.21,5.75,15181,28.79,96.62,2.08
BRA,2020-06,3.866691851,4.02,32.83,-0.71,6.13,10987,15.26,98.49,3.24
JPN,2024-06,6.044932623,-0.39,84.27,-0.26,5.21,12271,58.77,121.17,2.64
GBR,2020-07,4.872461229,4.09,38.52,-0.21,6.59,15109,33.34,111.8,3.38
VNM,2022-01,5.402529892,3.52,127.24,1.25,7.31,11916,90.37,127.08,1.15
PHL,2023-05,1.605517662,4.28,63.18,1.94,5.8,15867,28.07,121.68,1.24
JPN,2023-01,4.827844683,1.3,67.3,1.83,5.22,14587,53.75,137.15,1.4
TUR,2022-08,4.945966561,5.55,104.81,2.84,6.18,14150,83.95,119.62,1.08
TUR,2022-12,3.876689539,3.99,102,3.98,5.21,11811,83.63,121.5,1.12
USA,2021-09,4.081129085,4.62,60.37,1.75,6.74,11092,76.18,105.48,1.99
KOR,2024-08,5.176859743,5.4,74.62,2.14,4.34,16368,24.13,134.64,1.22
CAN,2020-12,4.566187304,-1.02,29.88,2.17,6.01,9362,23.82,95.14,3.6
PHL,2021-09,1.984057728,4.19,62.94,4.49,6.14,7728,29.8,125.41,1.37
SAU,2020-07,6.697646961,1.57,34.99,0.65,6.9,8697,2.57,95.37,4.02
USA,2021-11,2.455245047,5.82,80.57,0.08,7.38,12919,71.12,119.05,1.53
EU,2021-09,3.126236579,1.34,64.66,2.15,7.23,11161,27.65,102.51,1
SAU,2023-06,3.545434066,4.32,79.65,2.38,6.25,15076,2.62,141.36,1
PHL,2023-10,1.481795712,4.13,76.61,3.14,5.64,7856,27.33,122.92,1.4
IND,2023-06,6.155481278,2.05,79.1,3.86,5.8,14342,53.01,137.54,1.86
IDN,2021-11,5.268179397,0.28,68.37,4.43,3.61,8449,7.28,109.54,2.09
USA,2021-08,3.478955948,5.96,62.28,3.08,8.73,10473,68.18,110.94,1.94
THA,2023-10,1.760670724,3.23,84.22,4.93,4.7,9787,41.05,138.79,1.66
TUR,2020-05,3.87893597,3.11,42.34,3.35,6.11,8991,78.68,101.82,3.23
THA,2020-01,-0.433820657,3.8,42.4,0.91,7.13,10462,42.47,100.28,3.37
